time,riedon.riedon_current_mA,bms.pack_voltage_V
2025-11-22 13:40:38.001,72.484,134.1602
2025-11-22 13:40:38.498,72.484,134.1589
2025-11-22 13:40:38.998,72.484,134.1598
2025-11-22 13:40:39.501,72.484,134.1565
2025-11-22 13:40:40.000,72.484,134.1554
2025-11-22 13:40:40.498,72.484,134.1545
2025-11-22 13:40:41.000,72.484,134.1536
2025-11-22 13:40:41.500,72.484,134.1529
2025-11-22 13:40:41.998,72.484,134.1516
2025-11-22 13:40:42.500,72.484,134.151
2025-11-22 13:40:43.000,72.484,134.1493
2025-11-22 13:40:43.499,72.484,134.1485
2025-11-22 13:40:44.000,72.484,134.147
2025-11-22 13:40:44.500,72.484,134.1472
2025-11-22 13:40:44.999,72.484,134.1462
2025-11-22 13:40:45.501,72.484,134.1441
2025-11-22 13:40:46.000,72.484,134.1438
2025-11-22 13:40:46.499,72.484,134.1424
2025-11-22 13:40:47.001,72.484,134.1402
2025-11-22 13:40:47.500,72.484,134.14
2025-11-22 13:40:47.999,72.484,134.1385
2025-11-22 13:40:48.501,72.484,134.1383
2025-11-22 13:40:49.000,72.484,134.1372
2025-11-22 13:40:49.498,72.484,134.1356
2025-11-22 13:40:49.999,72.484,134.1344
2025-11-22 13:40:50.500,72.484,134.1335
2025-11-22 13:40:51.000,72.484,134.1317
2025-11-22 13:40:51.498,72.484,134.1323
2025-11-22 13:40:52.000,72.484,134.131
2025-11-22 13:40:52.499,72.484,134.1287
2025-11-22 13:40:52.998,72.484,134.1286
2025-11-22 13:40:53.500,72.484,134.1286
2025-11-22 13:40:53.998,72.484,134.127
2025-11-22 13:40:54.498,72.484,134.1251
2025-11-22 13:40:54.998,72.484,134.1242
2025-11-22 13:40:55.499,72.484,134.1234
2025-11-22 13:40:55.998,72.484,134.1226
2025-11-22 13:40:56.498,72.484,134.1218
2025-11-22 13:40:57.000,72.484,134.12
2025-11-22 13:40:57.499,72.484,134.1191
2025-11-22 13:40:57.998,72.484,134.118
2025-11-22 13:40:58.499,72.484,134.117
2025-11-22 13:40:58.999,72.484,134.116
2025-11-22 13:40:59.500,72.484,134.1143
2025-11-22 13:40:59.999,72.484,134.1134
2025-11-22 13:41:00.499,72.484,134.1118
2025-11-22 13:41:00.998,72.484,134.111
2025-11-22 13:41:01.499,72.484,134.1103
2025-11-22 13:41:01.998,72.484,134.1085
2025-11-22 13:41:02.500,72.484,134.1081
2025-11-22 13:41:03.000,72.484,134.1073
2025-11-22 13:41:03.498,72.484,134.1059
2025-11-22 13:41:03.998,72.484,134.1053
2025-11-22 13:41:03.998,72.484,134.1053
2025-11-22 13:41:04.500,72.484,134.1039
2025-11-22 13:41:04.999,72.484,134.1021
2025-11-22 13:41:05.500,72.484,134.1019
2025-11-22 13:41:05.999,72.484,134.1003
2025-11-22 13:41:06.499,72.484,134.1007
2025-11-22 13:41:06.998,72.484,134.0978
2025-11-22 13:41:07.499,72.484,134.0979
2025-11-22 13:41:07.998,72.484,134.096
2025-11-22 13:41:08.500,72.484,134.0949
2025-11-22 13:41:08.999,72.484,134.0942
2025-11-22 13:41:09.498,72.484,134.0923
2025-11-22 13:41:10.000,72.484,134.0938
2025-11-22 13:41:10.499,72.484,134.0912
2025-11-22 13:41:10.999,72.484,134.0898
2025-11-22 13:41:11.500,72.484,134.0886
2025-11-22 13:41:11.999,72.484,134.0871
2025-11-22 13:41:12.499,72.484,134.0867
2025-11-22 13:41:13.003,72.484,134.0867
2025-11-22 13:41:13.499,72.484,134.0839
2025-11-22 13:41:13.999,72.484,134.0833
2025-11-22 13:41:14.502,72.484,134.0823
2025-11-22 13:41:14.999,72.484,134.0803
2025-11-22 13:41:15.498,72.484,134.0799
2025-11-22 13:41:16.002,72.484,134.0783
2025-11-22 13:41:16.499,72.484,134.0768
2025-11-22 13:41:16.999,72.484,134.0765
2025-11-22 13:41:17.502,72.484,134.0752
2025-11-22 13:41:17.998,72.484,134.0749
2025-11-22 13:41:18.498,72.484,134.0738
2025-11-22 13:41:19.001,72.484,134.072
2025-11-22 13:41:19.499,72.484,134.0719
2025-11-22 13:41:20.002,72.484,134.0708
2025-11-22 13:41:20.501,72.484,134.0704
2025-11-22 13:41:21.000,72.484,134.0672
2025-11-22 13:41:21.500,72.484,134.0672
2025-11-22 13:41:22.000,72.484,134.0663
2025-11-22 13:41:22.500,72.484,134.0647
2025-11-22 13:41:22.999,72.484,134.0638
2025-11-22 13:41:23.498,72.484,134.0618
2025-11-22 13:41:24.000,72.484,134.0617
2025-11-22 13:41:24.499,72.484,134.0606
2025-11-22 13:41:25.000,72.484,134.0595
2025-11-22 13:41:25.500,72.484,134.0593
2025-11-22 13:41:25.998,72.484,134.0568
2025-11-22 13:41:26.500,72.484,134.057
2025-11-22 13:41:27.001,72.484,134.0557
2025-11-22 13:41:27.498,72.484,134.0541
2025-11-22 13:41:27.998,72.484,134.053
2025-11-22 13:41:28.500,72.484,134.0511
2025-11-22 13:41:28.999,72.484,134.05
2025-11-22 13:41:29.500,72.484,134.0496
2025-11-22 13:41:30.000,72.484,134.0479
2025-11-22 13:41:30.498,72.484,134.0482
2025-11-22 13:41:31.000,72.484,134.0471
2025-11-22 13:41:31.499,72.484,134.0452
2025-11-22 13:41:31.998,72.484,134.0448
2025-11-22 13:41:32.503,72.484,134.0435
2025-11-22 13:41:32.999,72.484,134.0419
2025-11-22 13:41:33.498,72.484,134.0408
2025-11-22 13:41:34.002,72.484,134.04
2025-11-22 13:41:34.499,72.484,134.0393
2025-11-22 13:41:34.999,72.484,134.0378
2025-11-22 13:41:35.501,72.484,134.0369
2025-11-22 13:41:35.998,72.484,134.0369
2025-11-22 13:41:36.499,72.484,134.0341
2025-11-22 13:41:37.002,72.484,134.034
2025-11-22 13:41:37.499,72.484,134.0329
2025-11-22 13:41:37.999,72.484,134.0311
2025-11-22 13:41:38.502,72.484,134.0319
2025-11-22 13:41:38.998,72.484,134.0286
2025-11-22 13:41:39.499,72.484,134.0283
2025-11-22 13:41:40.002,72.484,134.0275
2025-11-22 13:41:40.499,72.484,134.0254
2025-11-22 13:41:40.998,72.484,134.0249
2025-11-22 13:41:41.501,72.484,134.0235
2025-11-22 13:41:41.998,72.484,134.0224
2025-11-22 13:41:42.498,72.484,134.0216
2025-11-22 13:41:43.001,72.484,134.021
2025-11-22 13:41:43.499,72.484,134.0196
2025-11-22 13:41:43.999,72.484,134.0194
2025-11-22 13:41:44.500,72.484,134.0176
2025-11-22 13:41:44.999,72.484,134.0157
2025-11-22 13:41:45.499,72.484,134.0149
2025-11-22 13:41:46.000,72.484,134.0138
